DATE,CCUSMA02IFM618N_NBD19600101
1970-11-01,100.00000
1970-12-01,100.00000
1971-01-01,100.00000
1971-02-01,100.00000
1971-03-01,100.00000
1971-04-01,100.00000
1971-05-01,100.00000
1971-06-01,100.00000
1971-07-01,100.00000
1971-08-01,100.00000
1971-09-01,100.00000
1971-10-01,100.00000
1971-11-01,100.00000
1971-12-01,96.48800
1972-01-01,92.10500
1972-02-01,92.10500
1972-03-01,92.10500
1972-04-01,92.10500
1972-05-01,92.10500
1972-06-01,92.10500
1972-07-01,92.10500
1972-08-01,92.10500
1972-09-01,92.10500
1972-10-01,92.10500
1972-11-01,92.10500
1972-12-01,92.10500
1973-01-01,92.11000
1973-02-01,86.12350
1973-03-01,82.90000
1973-04-01,82.90000
1973-05-01,82.90000
1973-06-01,82.90000
1973-07-01,82.90000
1973-08-01,82.90000
1973-09-01,82.90000
1973-10-01,82.90000
1973-11-01,82.90000
1973-12-01,82.89952
1974-01-01,82.90000
1974-02-01,82.90000
1974-03-01,82.90000
1974-04-01,82.90000
1974-05-01,82.90000
1974-06-01,82.90000
1974-07-01,82.82870
1974-08-01,83.76045
1974-09-01,84.37095
1974-10-01,83.86391
1974-11-01,83.23524
1974-12-01,82.37864
1975-01-01,81.14783
1975-02-01,80.32700
1975-03-01,79.76809
1975-04-01,80.54364
1975-05-01,80.21955
1975-06-01,80.22571
1975-07-01,82.41826
1975-08-01,83.99143
1975-09-01,84.91591
1975-10-01,84.95556
1975-11-01,84.80450
1975-12-01,85.40333
1976-01-01,85.30579
1976-02-01,85.48650
1976-03-01,86.38609
1976-04-01,86.76682
1976-05-01,87.14857
1976-06-01,87.43773
1976-07-01,87.31409
1976-08-01,87.07136
1976-09-01,86.67727
1976-10-01,86.56667
1976-11-01,86.54955
1976-12-01,86.34810
1977-01-01,86.52350
1977-02-01,86.65300
1977-03-01,86.38957
1977-04-01,86.15889
1977-05-01,86.07238
1977-06-01,86.04429
1977-07-01,85.28000
1977-08-01,85.72609
1977-09-01,86.11550
1977-10-01,85.32421
1977-11-01,84.58571
1977-12-01,83.33476
1978-01-01,82.39429
1978-02-01,82.10211
1978-03-01,81.31136
1978-04-01,81.10421
1978-05-01,82.17500
1978-06-01,81.31682
1978-07-01,80.07619
1978-08-01,78.73500
1978-09-01,78.53300
1978-10-01,76.47364
1978-11-01,77.85591
1978-12-01,77.88875
1979-01-01,77.36250
1979-02-01,77.66647
1979-03-01,77.65545
1979-04-01,78.25650
1979-05-01,78.70391
1979-06-01,78.29571
1979-07-01,76.75571
1979-08-01,76.91304
1979-09-01,76.64056
1979-10-01,76.98435
1979-11-01,77.32214
1979-12-01,76.31437
1980-01-01,75.73111
1980-02-01,76.13105
1980-03-01,78.35286
1980-04-01,78.81619
1980-05-01,76.65619
1980-06-01,75.72810
1980-07-01,75.30818
1980-08-01,76.15250
1980-09-01,75.86600
1980-10-01,76.44045
1980-11-01,78.02667
1980-12-01,78.93524
1981-01-01,78.85056
1981-02-01,81.06632
1981-03-01,81.39955
1981-04-01,82.55421
1981-05-01,84.80550
1981-06-01,86.53150
1981-07-01,88.06250
1981-08-01,89.07190
1981-09-01,87.41714
1981-10-01,86.71381
1981-11-01,85.74700
1981-12-01,85.89727
1982-01-01,86.70158
1982-02-01,88.27100
1982-03-01,89.01130
1982-04-01,89.39118
1982-05-01,88.12900
1982-06-01,90.74136
1982-07-01,91.61864
1982-08-01,91.99476
1982-09-01,92.58714
1982-10-01,93.29737
1982-11-01,93.72455
1982-12-01,91.43381
1983-01-01,91.35524
1983-02-01,91.83400
1983-03-01,92.13136
1983-04-01,92.38684
1983-05-01,92.37895
1983-06-01,93.57905
1983-07-01,94.08200
1983-08-01,95.22304
1983-09-01,95.16227
1983-10-01,94.13809
1983-11-01,95.08895
1983-12-01,95.90381
1984-01-01,96.54682
1984-02-01,95.54600
1984-03-01,93.99000
1984-04-01,94.57263
1984-05-01,96.07864
1984-06-01,95.18286
1984-07-01,98.06500
1984-08-01,98.39304
1984-09-01,99.46737
1984-10-01,99.27783
1984-11-01,100.22318
1984-12-01,98.76158
1985-01-01,97.54000
1985-02-01,96.18950
1985-03-01,96.37476
1985-04-01,99.01136
1985-05-01,98.92500
1985-06-01,100.29700
1985-07-01,98.06217
1985-08-01,96.78591
1985-09-01,97.29350
1985-10-01,93.88826
1985-11-01,92.61300
1985-12-01,91.77000
1986-01-01,91.04545
1986-02-01,88.63000
1986-03-01,87.04250
1986-04-01,86.97954
1986-05-01,85.60667
1986-06-01,85.86762
1986-07-01,84.11826
1986-08-01,82.74619
1986-09-01,82.63682
1986-10-01,82.55522
1986-11-01,83.52650
1986-12-01,82.86191
1987-01-01,80.05714
1987-02-01,79.16000
1987-03-01,78.78909
1987-04-01,77.42364
1987-05-01,76.59905
1987-06-01,77.75048
1987-07-01,78.77364
1987-08-01,78.85809
1987-09-01,77.44773
1987-10-01,77.19909
1987-11-01,74.19714
1987-12-01,72.30727
1988-01-01,72.51000
1988-02-01,73.73000
1988-03-01,72.95591
1988-04-01,69.71050
1988-05-01,72.64286
1988-06-01,74.27136
1988-07-01,76.36350
1988-08-01,77.39783
1988-09-01,77.33500
1988-10-01,75.87333
1988-11-01,73.71409
1988-12-01,73.75905
1989-01-01,75.36810
1989-02-01,75.93000
1989-03-01,76.62696
1989-04-01,76.93800
1989-05-01,79.02500
1989-06-01,80.60773
1989-07-01,78.68000
1989-08-01,79.31000
1989-09-01,80.19429
1989-10-01,78.61048
1989-11-01,78.30572
1989-12-01,76.83000
1990-01-01,75.85045
1990-02-01,75.37050
1990-03-01,76.82364
1990-04-01,76.85700
1990-05-01,75.79952
1990-06-01,76.07100
1990-07-01,74.51762
1990-08-01,72.59869
1990-09-01,71.90000
1990-10-01,70.01696
1990-11-01,69.20273
1990-12-01,70.10368
1991-01-01,70.33500
1991-02-01,69.40750
1991-03-01,72.34119
1991-04-01,73.98418
1991-05-01,74.48626
1991-06-01,75.79659
1991-07-01,75.47462
1991-08-01,74.86781
1991-09-01,73.87814
1991-10-01,73.42094
1991-11-01,72.20180
1991-12-01,71.02727
1992-01-01,70.81985
1992-02-01,71.92394
1992-03-01,73.20741
1992-04-01,72.95199
1992-05-01,72.26054
1992-06-01,70.85971
1992-07-01,69.27090
1992-08-01,68.67172
1992-09-01,68.64565
1992-10-01,69.71125
1992-11-01,72.06873
1992-12-01,71.99977
1993-01-01,72.62821
1993-02-01,72.90614
1993-03-01,72.44203
1993-04-01,70.82334
1993-05-01,70.63076
1993-06-01,70.94315
1993-07-01,71.91777
1993-08-01,71.35196
1993-09-01,70.57214
1993-10-01,71.06071
1993-11-01,71.97144
1993-12-01,72.17864
1994-01-01,72.79344
1994-02-01,72.09534
1994-03-01,71.38313
1994-04-01,71.20237
1994-05-01,70.71045
1994-06-01,70.04306
1994-07-01,68.66104
1994-08-01,68.74652
1994-09-01,68.17455
1994-10-01,67.68571
1994-11-01,67.95560
1994-12-01,68.85426
1995-01-01,68.12333
1995-02-01,67.70300
1995-03-01,65.13826
1995-04-01,63.39778
1995-05-01,64.28635
1995-06-01,63.77041
1995-07-01,64.19195
1995-08-01,66.22864
1995-09-01,67.42476
1995-10-01,66.70500
1995-11-01,66.83476
1995-12-01,67.33737
1996-01-01,68.09864
1996-02-01,68.23143
1996-03-01,68.40950
1996-04-01,68.86714
1996-05-01,69.24526
1996-06-01,69.27450
1996-07-01,68.97304
1996-08-01,68.58091
1996-09-01,69.09762
1996-10-01,69.46609
1996-11-01,68.80952
1996-12-01,69.51600
1997-01-01,70.59082
1997-02-01,72.16690
1997-03-01,72.59000
1997-04-01,72.89667
1997-05-01,72.23550
1997-06-01,71.89000
1997-07-01,72.52957
1997-08-01,73.79000
1997-09-01,73.51455
1997-10-01,73.02870
1997-11-01,72.75474
1997-12-01,73.76650
1998-01-01,74.41000
1998-02-01,73.90850
1998-03-01,74.45818
1998-04-01,74.49800
1998-05-01,74.28300
1998-06-01,74.94318
1998-07-01,75.13261
1998-08-01,75.42190
1998-09-01,73.29909
1998-10-01,71.23500
1998-11-01,71.78381
1998-12-01,71.33364
1999-01-01,71.18900
1999-02-01,72.37500
1999-03-01,73.32976
1999-04-01,73.80605
1999-05-01,74.12172
1999-06-01,74.61370
1999-07-01,74.74504
1999-08-01,73.30944
1999-09-01,72.70182
1999-10-01,71.96619
1999-11-01,72.61950
1999-12-01,72.82905
2000-01-01,72.92050
2000-02-01,74.32619
2000-03-01,74.48565
2000-04-01,74.61000
2000-05-01,76.30652
2000-06-01,75.20000
2000-07-01,75.52619
2000-08-01,76.46957
2000-09-01,77.30050
2000-10-01,77.67455
2000-11-01,77.94364
2000-12-01,77.31400
2001-01-01,76.76864
2001-02-01,77.30150
2001-03-01,78.00727
2001-04-01,78.91900
2001-05-01,79.19391
2001-06-01,79.94810
2001-07-01,79.96182
2001-08-01,78.51826
2001-09-01,77.67800
2001-10-01,78.16957
2001-11-01,78.76409
2001-12-01,79.11389
2002-01-01,79.79909
2002-02-01,80.34600
2002-03-01,80.00667
2002-04-01,79.61206
2002-05-01,78.35957
2002-06-01,77.00500
2002-07-01,75.14739
2002-08-01,75.71955
2002-09-01,75.59619
2002-10-01,75.89217
2002-11-01,75.12381
2002-12-01,74.81421
2003-01-01,73.29273
2003-02-01,72.94000
2003-03-01,73.00095
2003-04-01,73.04045
2003-05-01,71.07682
2003-06-01,70.65333
2003-07-01,71.49087
2003-08-01,72.16762
2003-09-01,71.79636
2003-10-01,69.83130
2003-11-01,69.79550
2003-12-01,68.26095
2004-01-01,67.03238
2004-02-01,66.81650
2004-03-01,67.89000
2004-04-01,68.35091
2004-05-01,68.94571
2004-06-01,68.21364
2004-07-01,67.87500
2004-08-01,68.26318
2004-09-01,68.28636
2004-10-01,67.67524
2004-11-01,66.16591
2004-12-01,64.97217
2005-01-01,65.53476
2005-02-01,65.92700
2005-03-01,65.53261
2005-04-01,66.20095
2005-05-01,66.68409
2005-06-01,68.11091
2005-07-01,68.94619
2005-08-01,68.18652
2005-09-01,68.19682
2005-10-01,69.18857
2005-11-01,70.03545
2005-12-01,69.86227
2006-01-01,69.11818
2006-02-01,69.68500
2006-03-01,69.49130
2006-04-01,68.94500
2006-05-01,67.18261
2006-06-01,67.65909
2006-07-01,67.68095
2006-08-01,67.25217
2006-09-01,67.50476
2006-10-01,67.87273
2006-11-01,67.16818
2006-12-01,66.30476
2007-01-01,66.90390
2007-02-01,66.79188
2007-03-01,66.31947
2007-04-01,65.79041
2007-05-01,65.90300
2007-06-01,66.17139
2007-07-01,65.40311
2007-08-01,65.38601
2007-09-01,64.79771
2007-10-01,64.16263
2007-11-01,63.03321
2007-12-01,63.49443
2008-01-01,63.11802
2008-02-01,63.07135
2008-03-01,61.26852
2008-04-01,61.10642
2008-05-01,61.58508
2008-06-01,61.76457
2008-07-01,61.30145
2008-08-01,63.10100
2008-09-01,64.28638
2008-10-01,66.02360
2008-11-01,67.41587
2008-12-01,65.76183
2009-01-01,66.24122
2009-02-01,67.31218
2009-03-01,67.43027
2009-04-01,67.01463
2009-05-01,65.76142
2009-06-01,64.72912
2009-07-01,64.43687
2009-08-01,64.09416
2009-09-01,63.42373
2009-10-01,62.91027
2009-11-01,62.49431
2009-12-01,63.20789
2010-01-01,63.89532
2010-02-01,65.01584
2010-03-01,65.46921
2010-04-01,65.94740
2010-05-01,67.58972
2010-06-01,68.10762
2010-07-01,66.50160
2010-08-01,65.88664
2010-09-01,64.78298
2010-10-01,63.70567
2010-11-01,64.05176
2010-12-01,65.12442
2011-01-01,64.65139
2011-02-01,63.98420
2011-03-01,63.28700
2011-04-01,62.67149
2011-05-01,62.59112
2011-06-01,62.66075
2011-07-01,62.70034
2011-08-01,62.27033
2011-09-01,63.46673
2011-10-01,63.58394
2011-11-01,63.87741
2011-12-01,64.69460
2012-01-01,65.12208
2012-02-01,64.58632
2012-03-01,64.90572
2012-04-01,64.81278
2012-05-01,65.34783
2012-06-01,65.98717
2012-07-01,66.37025
2012-08-01,66.10497
2012-09-01,65.04840
2012-10-01,64.92140
2012-11-01,65.38571
2012-12-01,64.99127
2013-01-01,65.11863
2013-02-01,65.49070
2013-03-01,66.52641
2013-04-01,66.47898
2013-05-01,66.70032
2013-06-01,66.05950
2013-07-01,66.53239
2013-08-01,65.82705
2013-09-01,65.67119
2013-10-01,64.95609
2013-11-01,65.35333
2013-12-01,65.00114
2014-01-01,65.11957
2014-02-01,64.91250
2014-03-01,64.61333
2014-04-01,64.59182
2014-05-01,64.64705
2014-06-01,64.88119
2014-07-01,64.89739
2014-08-01,65.51952
2014-09-01,66.68841
2014-10-01,67.27348
2014-11-01,68.16325
2014-12-01,68.69870
2015-01-01,70.29409
2015-02-01,70.79700
2015-03-01,72.24705
2015-04-01,72.21409
2015-05-01,71.23643
2015-06-01,71.17205
2015-07-01,71.61652
2015-08-01,71.31762
2015-09-01,71.15523
2015-10-01,71.11318
2015-11-01,72.42214
2015-12-01,72.13413
2016-01-01,72.41167
2016-02-01,71.76571
2016-03-01,71.62826
2016-04-01,70.97167
2016-05-01,70.89227
2016-06-01,71.03500
2016-07-01,71.94881
2016-08-01,71.47652
2016-09-01,71.48182
2016-10-01,72.46524
2016-11-01,73.30000
2016-12-01,74.26182
2017-01-01,73.98295
2017-02-01,73.77400
2017-03-01,73.78130
2017-04-01,73.46125
2017-05-01,72.71022
2017-06-01,72.25000
2017-07-01,71.64714
2017-08-01,70.85217
2017-09-01,70.42286
2017-10-01,70.94500
2017-11-01,70.95977
2017-12-01,70.68119
2018-01-01,69.51783
2018-02-01,68.91150
2018-03-01,68.83841
2018-04-01,68.95119
2018-05-01,70.27543
2018-06-01,70.73619
2018-07-01,71.14773
2018-08-01,71.65261
2018-09-01,71.40025
2018-10-01,71.89870
2018-11-01,72.22477
2018-12-01,72.18833
2019-01-01,71.74652
2019-02-01,71.85800
2019-03-01,71.89000
2019-04-01,72.09477
